component_id,lot_id,timestamp,hour_of_day,day_index,temperature,pressure,voltage,current,vibration,humidity,stress,cycle_count,operating_hours,health,health_24h,health_48h,health_96h,health_168h,anomaly_label,anomaly_type,degradation_pattern,split
ESS-C,LOT-ESS-77,2026-01-01T00:00:00Z,0,0,30,101,5,9.0,0.1,40,0.2,0,0,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-C,LOT-ESS-77,2026-01-01T06:00:00Z,6,0,30,101,5,9.18,0.1,40,0.2,6,6,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-C,LOT-ESS-77,2026-01-01T12:00:00Z,12,0,30,101,5,9.36,0.1,40,0.2,12,12,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-C,LOT-ESS-77,2026-01-02T00:00:00Z,0,1,30,101,5,9.72,0.1,40,0.2,24,24,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-C,LOT-ESS-77,2026-01-03T00:00:00Z,0,2,30,101,5,10.44,0.1,40,0.2,48,48,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-C,LOT-ESS-77,2026-01-05T00:00:00Z,0,4,30,101,5,11.88,0.1,40,0.2,96,96,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-C,LOT-ESS-77,2026-01-08T00:00:00Z,0,7,30,101,5,14.04,0.1,40,0.2,168,168,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-01T00:00:00Z,0,0,30,101,5,9.0,0.1,40,0.2,0,0,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-01T06:00:00Z,6,0,30,101,5,9.18,0.1,40,0.2,6,6,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-01T12:00:00Z,12,0,30,101,5,9.36,0.1,40,0.2,12,12,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-02T00:00:00Z,0,1,30,101,5,9.72,0.1,40,0.2,24,24,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-03T00:00:00Z,0,2,30,101,5,10.44,0.1,40,0.2,48,48,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-05T00:00:00Z,0,4,30,101,5,11.88,0.1,40,0.2,96,96,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-D,LOT-ESS-77,2026-01-08T00:00:00Z,0,7,30,101,5,14.04,0.1,40,0.2,168,168,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-01T00:00:00Z,0,0,30,101,5,9.0,0.1,40,0.2,0,0,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-01T06:00:00Z,6,0,30,101,5,9.18,0.1,40,0.2,6,6,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-01T12:00:00Z,12,0,30,101,5,9.36,0.1,40,0.2,12,12,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-02T00:00:00Z,0,1,30,101,5,9.72,0.1,40,0.2,24,24,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-03T00:00:00Z,0,2,30,101,5,10.44,0.1,40,0.2,48,48,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-05T00:00:00Z,0,4,30,101,5,11.88,0.1,40,0.2,96,96,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-E,LOT-ESS-77,2026-01-08T00:00:00Z,0,7,30,101,5,14.04,0.1,40,0.2,168,168,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-01T00:00:00Z,0,0,30,101,5,9.0,0.1,40,0.2,0,0,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-01T06:00:00Z,6,0,30,101,5,9.18,0.1,40,0.2,6,6,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-01T12:00:00Z,12,0,30,101,5,9.36,0.1,40,0.2,12,12,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-02T00:00:00Z,0,1,30,101,5,9.72,0.1,40,0.2,24,24,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-03T00:00:00Z,0,2,30,101,5,10.44,0.1,40,0.2,48,48,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-05T00:00:00Z,0,4,30,101,5,13.88,0.1,40,0.2,96,96,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
ESS-F,LOT-ESS-77,2026-01-08T00:00:00Z,0,7,30,101,5,16.04,0.1,40,0.2,168,168,0.9,0.9,0.9,0.85,0.8,0,none,linear,train
